# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.1000000e+02	6.8982639e+18	2.0000701e-01
1.0679921e+04	2.0945649e+02	6.8473317e+18	1.9801646e-01
2.1332201e+04	2.0891439e+02	6.7967764e+18	1.9604575e-01
3.1956912e+04	2.0837368e+02	6.7465952e+18	1.9409468e-01
4.2554124e+04	2.0783438e+02	6.6967854e+18	1.9216305e-01
5.3123909e+04	2.0729648e+02	6.6473440e+18	1.9025067e-01
6.3666338e+04	2.0675996e+02	6.5982684e+18	1.8835734e-01
7.4181481e+04	2.0622484e+02	6.5495558e+18	1.8648287e-01
8.4669410e+04	2.0569110e+02	6.5012034e+18	1.8462707e-01
9.5130195e+04	2.0515874e+02	6.4532085e+18	1.8278975e-01
1.0556391e+05	2.0462776e+02	6.4055685e+18	1.8097073e-01
1.1597061e+05	2.0409815e+02	6.3582807e+18	1.7916983e-01
1.2635038e+05	2.0356992e+02	6.3113425e+18	1.7738687e-01
1.3670329e+05	2.0304305e+02	6.2647512e+18	1.7562166e-01
1.4702941e+05	2.0251755e+02	6.2185043e+18	1.7387402e-01
1.5732879e+05	2.0199340e+02	6.1725991e+18	1.7214379e-01
1.6760153e+05	2.0147061e+02	6.1270332e+18	1.7043079e-01
1.7784767e+05	2.0094918e+02	6.0818039e+18	1.6873484e-01
1.8806730e+05	2.0042909e+02	6.0369089e+18	1.6705578e-01
1.9826047e+05	1.9991035e+02	5.9923455e+18	1.6539343e-01
2.0842727e+05	1.9939296e+02	5.9481114e+18	1.6374763e-01
2.1856775e+05	1.9887690e+02	5.9042041e+18	1.6211821e-01
2.2868198e+05	1.9836218e+02	5.8606211e+18	1.6050502e-01
2.3877004e+05	1.9784879e+02	5.8173600e+18	1.5890788e-01
2.4883199e+05	1.9733672e+02	5.7744185e+18	1.5732664e-01
2.5886790e+05	1.9682599e+02	5.7317941e+18	1.5576115e-01
2.6887783e+05	1.9631657e+02	5.6894845e+18	1.5421123e-01
2.7886186e+05	1.9580848e+02	5.6474874e+18	1.5267674e-01
2.8882005e+05	1.9530170e+02	5.6058005e+18	1.5115752e-01
2.9875246e+05	1.9479623e+02	5.5644214e+18	1.4965343e-01
3.0865917e+05	1.9429207e+02	5.5233479e+18	1.4816430e-01
3.1854023e+05	1.9378921e+02	5.4825777e+18	1.4669000e-01
3.2839573e+05	1.9328766e+02	5.4421085e+18	1.4523037e-01
3.3822571e+05	1.9278740e+02	5.4019382e+18	1.4378526e-01
3.4803025e+05	1.9228844e+02	5.3620645e+18	1.4235454e-01
3.5780942e+05	1.9179077e+02	5.3224852e+18	1.4093805e-01
3.6756328e+05	1.9129439e+02	5.2831981e+18	1.3953567e-01
3.7729190e+05	1.9079929e+02	5.2442011e+18	1.3814724e-01
3.8699533e+05	1.9030547e+02	5.2054920e+18	1.3677262e-01
3.9667365e+05	1.8981293e+02	5.1670687e+18	1.3541169e-01
4.0632692e+05	1.8932167e+02	5.1289291e+18	1.3406430e-01
4.1595521e+05	1.8883168e+02	5.0910710e+18	1.3273031e-01
4.2555858e+05	1.8834295e+02	5.0534925e+18	1.3140961e-01
4.3513710e+05	1.8785550e+02	5.0161914e+18	1.3010204e-01
4.4469082e+05	1.8736930e+02	4.9791656e+18	1.2880749e-01
4.5421982e+05	1.8688436e+02	4.9424132e+18	1.2752582e-01
4.6372415e+05	1.8640067e+02	4.9059321e+18	1.2625690e-01
4.7320389e+05	1.8591824e+02	4.8697203e+18	1.2500061e-01
4.8265909e+05	1.8543706e+02	4.8337759e+18	1.2375682e-01
4.9208982e+05	1.8495712e+02	4.7980968e+18	1.2252541e-01
5.0149614e+05	1.8447843e+02	4.7626810e+18	1.2130625e-01
5.1087811e+05	1.8400097e+02	4.7275267e+18	1.2009923e-01
5.2023581e+05	1.8352475e+02	4.6926320e+18	1.1890421e-01
5.2956928e+05	1.8304976e+02	4.6579948e+18	1.1772109e-01
5.3887860e+05	1.8257600e+02	4.6236132e+18	1.1654974e-01
5.4816383e+05	1.8210347e+02	4.5894855e+18	1.1539004e-01
5.5742502e+05	1.8163216e+02	4.5556097e+18	1.1424189e-01
5.6666225e+05	1.8116207e+02	4.5219840e+18	1.1310515e-01
5.7587556e+05	1.8069319e+02	4.4886065e+18	1.1197973e-01
5.8506504e+05	1.8022553e+02	4.4554753e+18	1.1086551e-01
5.9423072e+05	1.7975908e+02	4.4225887e+18	1.0976238e-01
6.0337269e+05	1.7929384e+02	4.3899449e+18	1.0867022e-01
6.1249100e+05	1.7882980e+02	4.3575420e+18	1.0758893e-01
6.2158570e+05	1.7836696e+02	4.3253783e+18	1.0651840e-01
6.3065687e+05	1.7790532e+02	4.2934521e+18	1.0545852e-01
6.3970456e+05	1.7744488e+02	4.2617614e+18	1.0440919e-01
6.4872883e+05	1.7698563e+02	4.2303047e+18	1.0337030e-01
6.5772975e+05	1.7652756e+02	4.1990802e+18	1.0234174e-01
6.6670737e+05	1.7607068e+02	4.1680862e+18	1.0132342e-01
6.7566175e+05	1.7561499e+02	4.1373210e+18	1.0031524e-01
6.8459725e+05	1.7547181e+02	4.0994961e+18	9.9317083e-02
6.9353276e+05	1.7547181e+02	4.0587054e+18	9.8328862e-02
7.0246826e+05	1.7547181e+02	4.0183206e+18	9.7350473e-02
7.1140376e+05	1.7547181e+02	3.9783377e+18	9.6381820e-02
7.2033926e+05	1.7547181e+02	3.9387525e+18	9.5422805e-02
7.2927476e+05	1.7547181e+02	3.8995613e+18	9.4473332e-02
7.3821026e+05	1.7547181e+02	3.8607600e+18	9.3533306e-02
7.4714576e+05	1.7547181e+02	3.8223448e+18	9.2602635e-02
7.5608126e+05	1.7547181e+02	3.7843118e+18	9.1681223e-02
7.6501676e+05	1.7547181e+02	3.7466573e+18	9.0768979e-02
7.7395226e+05	1.7547181e+02	3.7093775e+18	8.9865813e-02
7.8288776e+05	1.7547181e+02	3.6724685e+18	8.8971633e-02
7.9182326e+05	1.7547181e+02	3.6359269e+18	8.8086351e-02
8.0075876e+05	1.7547181e+02	3.5997488e+18	8.7209877e-02
8.0969426e+05	1.7547181e+02	3.5639307e+18	8.6342124e-02
8.1862976e+05	1.7547181e+02	3.5284690e+18	8.5483006e-02
8.2756526e+05	1.7547181e+02	3.4933601e+18	8.4632436e-02
8.3650076e+05	1.7547181e+02	3.4586006e+18	8.3790329e-02
8.4543626e+05	1.7547181e+02	3.4241870e+18	8.2956601e-02
8.5437176e+05	1.7547181e+02	3.3901157e+18	8.2131169e-02
8.6330726e+05	1.7547181e+02	3.3563835e+18	8.1313950e-02
8.7224276e+05	1.7547181e+02	3.3229869e+18	8.0504863e-02
8.8117826e+05	1.7547181e+02	3.2899227e+18	7.9703826e-02
8.9011376e+05	1.7547181e+02	3.2571874e+18	7.8910760e-02
8.9904926e+05	1.7547181e+02	3.2247778e+18	7.8125585e-02
9.0798476e+05	1.7547181e+02	3.1926908e+18	7.7348222e-02
9.1692026e+05	1.7547181e+02	3.1609230e+18	7.6578594e-02
9.2585576e+05	1.7547181e+02	3.1294712e+18	7.5816625e-02
9.3479126e+05	1.7547181e+02	3.0983325e+18	7.5062237e-02
9.4372676e+05	1.7547181e+02	3.0675036e+18	7.4315355e-02
9.5266226e+05	1.7547181e+02	3.0369814e+18	7.3575905e-02
9.6159776e+05	1.7547181e+02	3.0067629e+18	7.2843812e-02
9.7053326e+05	1.7547181e+02	2.9768451e+18	7.2119004e-02
9.7946876e+05	1.7547181e+02	2.9472250e+18	7.1401408e-02
9.8840426e+05	1.7547181e+02	2.9178997e+18	7.0690952e-02
9.9733976e+05	1.7547181e+02	2.8888661e+18	6.9987566e-02
1.0062753e+06	1.7547181e+02	2.8601214e+18	6.9291178e-02
1.0152108e+06	1.7547181e+02	2.8316627e+18	6.8601719e-02
1.0241463e+06	1.7547181e+02	2.8034872e+18	6.7919120e-02
1.0330818e+06	1.7547181e+02	2.7755920e+18	6.7243314e-02
1.0420173e+06	1.7547181e+02	2.7479744e+18	6.6574232e-02
1.0509528e+06	1.7547181e+02	2.7206316e+18	6.5911807e-02
1.0598883e+06	1.7547181e+02	2.6935609e+18	6.5255974e-02
1.0688238e+06	1.7547181e+02	2.6667595e+18	6.4606666e-02
1.0777593e+06	1.7547181e+02	2.6402248e+18	6.3963819e-02
1.0866948e+06	1.7547181e+02	2.6139541e+18	6.3327368e-02
1.0956303e+06	1.7547181e+02	2.5879448e+18	6.2697250e-02
1.1045658e+06	1.7547181e+02	2.5621944e+18	6.2073402e-02
1.1135013e+06	1.7547181e+02	2.5367001e+18	6.1455762e-02
1.1224368e+06	1.7547181e+02	2.5114595e+18	6.0844267e-02
1.1313723e+06	1.7547181e+02	2.4864701e+18	6.0238856e-02
1.1403078e+06	1.7547181e+02	2.4617293e+18	5.9639469e-02
1.1492433e+06	1.7547181e+02	2.4372347e+18	5.9046047e-02
1.1581788e+06	1.7547181e+02	2.4129838e+18	5.8458529e-02
1.1671143e+06	1.7547181e+02	2.3889742e+18	5.7876857e-02
1.1760498e+06	1.7547181e+02	2.3652035e+18	5.7300972e-02
1.1849853e+06	1.7547181e+02	2.3416693e+18	5.6730818e-02
1.1939208e+06	1.7547181e+02	2.3183693e+18	5.6166337e-02
1.2028563e+06	1.7547181e+02	2.2953012e+18	5.5607473e-02
1.2117918e+06	1.7547181e+02	2.2724625e+18	5.5054169e-02
1.2207273e+06	1.7547181e+02	2.2498512e+18	5.4506371e-02
1.2296628e+06	1.7547181e+02	2.2274648e+18	5.3964023e-02
