# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.1000000e+02	6.8980464e+19	2.0000070e+00
1.0679921e+04	2.0945649e+02	6.8471295e+19	1.9801062e+00
2.1332201e+04	2.0891439e+02	6.7965886e+19	1.9604034e+00
3.1956912e+04	2.0837368e+02	6.7464208e+19	1.9408966e+00
4.2554124e+04	2.0783438e+02	6.6966233e+19	1.9215840e+00
5.3123909e+04	2.0729648e+02	6.6471936e+19	1.9024636e+00
6.3666338e+04	2.0675996e+02	6.5981287e+19	1.8835335e+00
7.4181481e+04	2.0622484e+02	6.5494261e+19	1.8647917e+00
8.4669410e+04	2.0569110e+02	6.5010831e+19	1.8462365e+00
9.5130195e+04	2.0515874e+02	6.4530969e+19	1.8278659e+00
1.0556391e+05	2.0462776e+02	6.4054650e+19	1.8096781e+00
1.1597061e+05	2.0409815e+02	6.3581847e+19	1.7916713e+00
1.2635038e+05	2.0356992e+02	6.3112534e+19	1.7738437e+00
1.3670329e+05	2.0304305e+02	6.2646687e+19	1.7561934e+00
1.4702941e+05	2.0251755e+02	6.2184277e+19	1.7387188e+00
1.5732879e+05	2.0199340e+02	6.1725282e+19	1.7214181e+00
1.6760153e+05	2.0147061e+02	6.1269675e+19	1.7042896e+00
1.7784767e+05	2.0094918e+02	6.0817431e+19	1.6873315e+00
1.8806730e+05	2.0042909e+02	6.0368525e+19	1.6705422e+00
1.9826787e+05	2.0025163e+02	5.9820815e+19	1.6539200e+00
2.0846201e+05	2.0012512e+02	5.9263026e+19	1.6374632e+00
2.1864970e+05	1.9999877e+02	5.8710416e+19	1.6211701e+00
2.2883097e+05	1.9987258e+02	5.8162935e+19	1.6050392e+00
2.3900581e+05	1.9974655e+02	5.7620536e+19	1.5890688e+00
2.4917424e+05	1.9962068e+02	5.7083173e+19	1.5732573e+00
2.5933626e+05	1.9949496e+02	5.6550799e+19	1.5576031e+00
2.6949189e+05	1.9936941e+02	5.6023367e+19	1.5421046e+00
2.7964113e+05	1.9924401e+02	5.5500833e+19	1.5267604e+00
2.8978398e+05	1.9911877e+02	5.4983151e+19	1.5115689e+00
2.9992046e+05	1.9899369e+02	5.4470276e+19	1.4965285e+00
3.1005058e+05	1.9886877e+02	5.3962164e+19	1.4816378e+00
3.2017434e+05	1.9874400e+02	5.3458770e+19	1.4668952e+00
3.3029175e+05	1.9861939e+02	5.2960052e+19	1.4522994e+00
3.4040281e+05	1.9849493e+02	5.2465965e+19	1.4378488e+00
3.5050755e+05	1.9837063e+02	5.1976468e+19	1.4235419e+00
3.6060596e+05	1.9824649e+02	5.1491517e+19	1.4093774e+00
3.7069805e+05	1.9812250e+02	5.1011071e+19	1.3953539e+00
3.8078383e+05	1.9799867e+02	5.0535088e+19	1.3814699e+00
3.9086330e+05	1.9787499e+02	5.0063527e+19	1.3677240e+00
4.0093649e+05	1.9775146e+02	4.9596347e+19	1.3541149e+00
4.1100339e+05	1.9762809e+02	4.9133508e+19	1.3406412e+00
4.2106401e+05	1.9750488e+02	4.8674968e+19	1.3273016e+00
4.3111836e+05	1.9738181e+02	4.8220690e+19	1.3140947e+00
4.4116644e+05	1.9725891e+02	4.7770632e+19	1.3010192e+00
4.5120827e+05	1.9713615e+02	4.7324757e+19	1.2880739e+00
4.6124386e+05	1.9701354e+02	4.6883025e+19	1.2752573e+00
4.7127320e+05	1.9689109e+02	4.6445399e+19	1.2625683e+00
4.8129631e+05	1.9676879e+02	4.6011839e+19	1.2500055e+00
4.9131320e+05	1.9664665e+02	4.5582309e+19	1.2375677e+00
5.0132388e+05	1.9652465e+02	4.5156772e+19	1.2252537e+00
5.1132834e+05	1.9640281e+02	4.4735190e+19	1.2130622e+00
5.2132660e+05	1.9628111e+02	4.4317527e+19	1.2009921e+00
5.3131867e+05	1.9615957e+02	4.3903746e+19	1.1890420e+00
5.4130456e+05	1.9603818e+02	4.3493812e+19	1.1772108e+00
5.5128426e+05	1.9591693e+02	4.3087690e+19	1.1654974e+00
5.6125780e+05	1.9579584e+02	4.2685343e+19	1.1539005e+00
5.7122518e+05	1.9567490e+02	4.2286737e+19	1.1424190e+00
5.8118640e+05	1.9555410e+02	4.1891837e+19	1.1310517e+00
5.9114147e+05	1.9543346e+02	4.1500609e+19	1.1197975e+00
6.0109040e+05	1.9531296e+02	4.1113019e+19	1.1086553e+00
6.1103320e+05	1.9519262e+02	4.0729034e+19	1.0976240e+00
6.2096987e+05	1.9507242e+02	4.0348620e+19	1.0867025e+00
6.3090043e+05	1.9495237e+02	3.9971743e+19	1.0758896e+00
6.4082488e+05	1.9483246e+02	3.9598372e+19	1.0651843e+00
6.5074323e+05	1.9471271e+02	3.9228474e+19	1.0545856e+00
6.6065548e+05	1.9459310e+02	3.8862016e+19	1.0440922e+00
6.7056164e+05	1.9447363e+02	3.8498967e+19	1.0337033e+00
6.8046173e+05	1.9435432e+02	3.8139295e+19	1.0234178e+00
6.9035574e+05	1.9423515e+02	3.7782970e+19	1.0132346e+00
7.0024369e+05	1.9411613e+02	3.7429959e+19	1.0031528e+00
7.1012558e+05	1.9399725e+02	3.7080232e+19	9.9317124e-01
7.2000142e+05	1.9387852e+02	3.6733760e+19	9.8328901e-01
7.2987122e+05	1.9375993e+02	3.6390511e+19	9.7350512e-01
7.3973499e+05	1.9364149e+02	3.6050456e+19	9.6381857e-01
7.4959272e+05	1.9352319e+02	3.5713566e+19	9.5422841e-01
7.5944444e+05	1.9340504e+02	3.5379810e+19	9.4473368e-01
7.6929014e+05	1.9328703e+02	3.5049161e+19	9.3533341e-01
7.7912984e+05	1.9316917e+02	3.4721588e+19	9.2602668e-01
7.8896354e+05	1.9305145e+02	3.4397065e+19	9.1681256e-01
7.9879125e+05	1.9293387e+02	3.4075562e+19	9.0769012e-01
8.0861297e+05	1.9281643e+02	3.3757051e+19	8.9865845e-01
8.1842872e+05	1.9269914e+02	3.3441505e+19	8.8971664e-01
8.2823850e+05	1.9258199e+02	3.3128897e+19	8.8086381e-01
8.3804231e+05	1.9246499e+02	3.2819198e+19	8.7209906e-01
8.4784017e+05	1.9234812e+02	3.2512383e+19	8.6342153e-01
8.5763209e+05	1.9223140e+02	3.2208424e+19	8.5483033e-01
8.6741806e+05	1.9211482e+02	3.1907296e+19	8.4632462e-01
8.7719810e+05	1.9199838e+02	3.1608971e+19	8.3790355e-01
8.8697222e+05	1.9188208e+02	3.1313423e+19	8.2956627e-01
8.9674042e+05	1.9176592e+02	3.1020628e+19	8.2131194e-01
9.0650270e+05	1.9164991e+02	3.0730559e+19	8.1313975e-01
9.1625908e+05	1.9153403e+02	3.0443192e+19	8.0504887e-01
9.2600957e+05	1.9141829e+02	3.0158500e+19	7.9703849e-01
9.3575416e+05	1.9130270e+02	2.9876461e+19	7.8910782e-01
