# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.5000000e+02	5.8169494e+18	2.0078044e-01
1.2715405e+04	2.4940056e+02	5.7718635e+18	1.9874655e-01
2.5400322e+04	2.4880256e+02	5.7271739e+18	1.9673486e-01
3.8054824e+04	2.4820599e+02	5.6828749e+18	1.9474507e-01
5.0678983e+04	2.4761085e+02	5.6389609e+18	1.9277684e-01
6.3272872e+04	2.4701714e+02	5.5954265e+18	1.9082989e-01
7.5836564e+04	2.4642485e+02	5.5522665e+18	1.8890389e-01
8.8370131e+04	2.4583398e+02	5.5094757e+18	1.8699857e-01
1.0087365e+05	2.4524453e+02	5.4670492e+18	1.8511364e-01
1.1334718e+05	2.4465649e+02	5.4249822e+18	1.8324881e-01
1.2579081e+05	2.4406986e+02	5.3832700e+18	1.8140382e-01
1.3820459e+05	2.4348464e+02	5.3419081e+18	1.7957840e-01
1.5058862e+05	2.4290082e+02	5.3008921e+18	1.7777229e-01
1.6294295e+05	2.4231840e+02	5.2602176e+18	1.7598523e-01
1.7526765e+05	2.4173738e+02	5.2198805e+18	1.7421698e-01
1.8756281e+05	2.4115775e+02	5.1798766e+18	1.7246730e-01
1.9982848e+05	2.4057951e+02	5.1402021e+18	1.7073594e-01
2.1206475e+05	2.4000266e+02	5.1008531e+18	1.6902268e-01
2.2427167e+05	2.3942719e+02	5.0618257e+18	1.6732729e-01
2.3644933e+05	2.3885310e+02	5.0231164e+18	1.6564954e-01
2.4859778e+05	2.3828039e+02	4.9847215e+18	1.6398922e-01
2.6071711e+05	2.3770905e+02	4.9466375e+18	1.6234612e-01
2.7280738e+05	2.3713908e+02	4.9088609e+18	1.6072002e-01
2.8486866e+05	2.3657048e+02	4.8713886e+18	1.5911072e-01
2.9690101e+05	2.3600324e+02	4.8342171e+18	1.5751801e-01
3.0890452e+05	2.3543736e+02	4.7973433e+18	1.5594171e-01
3.2087925e+05	2.3487283e+02	4.7607641e+18	1.5438161e-01
3.3282526e+05	2.3430966e+02	4.7244764e+18	1.5283753e-01
3.4474263e+05	2.3374784e+02	4.6884772e+18	1.5130927e-01
3.5663142e+05	2.3318737e+02	4.6527637e+18	1.4979666e-01
3.6849171e+05	2.3262825e+02	4.6173329e+18	1.4829952e-01
3.8032356e+05	2.3207046e+02	4.5821820e+18	1.4681766e-01
3.9212704e+05	2.3151401e+02	4.5473083e+18	1.4535092e-01
4.0390222e+05	2.3095889e+02	4.5127091e+18	1.4389912e-01
4.1564916e+05	2.3040511e+02	4.4783817e+18	1.4246209e-01
4.2736794e+05	2.2985265e+02	4.4443235e+18	1.4103967e-01
